Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2,DesignLatency_Msec,BRAM_Utilization,DSP_Utilization,FF_Utilization,LUT_Utilization
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=4 dim=1,#pragma HLS array_partition variable=data_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01741923,8,23,24,40
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=4 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.08819172,8,7,18,29
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=4 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03504825,9,23,22,37
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03144519,12,23,22,43
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03125871,12,23,22,44
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=4 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=4 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01077921,14,41,37,68
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y block factor=2 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=128 dim=1,#pragma HLS array_partition variable=smem block factor=256 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.08326332,7,7,16,35
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=128 dim=1,#pragma HLS array_partition variable=smem cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03456207,7,23,25,51
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=2 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=4 dim=1,#pragma HLS array_partition variable=smem cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.07107219,8,12,16,33
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01296036,8,23,23,43
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed block factor=2 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y block factor=2 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=8 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.0734731199999999,11,7,13,25
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=128 dim=1,#pragma HLS array_partition variable=smem block factor=256 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.1082583,3,6,14,33
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed block factor=2 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=128 dim=1,#pragma HLS array_partition variable=smem cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03583746,7,23,25,49
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=4 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=4 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=2 dim=1,#pragma HLS array_partition variable=smem cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03422907,10,23,22,43
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=4 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.0910422,8,7,13,26
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed block factor=4 dim=1,#pragma HLS array_partition variable=data_x block factor=2 dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=4 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.03427236,13,23,22,41
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y complete dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=4 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01190808,9,23,23,43
#pragma HLS array_partition variable=reversed8 block factor=2 dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x cyclic factor=16 dim=1,#pragma HLS array_partition variable=DATA_y cyclic factor=4 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.04392936,13,23,21,38
#pragma HLS array_partition variable=reversed8 complete dim=1,#pragma HLS array_partition variable=reversed cyclic factor=4 dim=1,#pragma HLS array_partition variable=data_x complete dim=1,#pragma HLS array_partition variable=data_y block factor=4 dim=1,#pragma HLS array_partition variable=DATA_x block factor=2 dim=1,#pragma HLS array_partition variable=DATA_y block factor=2 dim=1,#pragma HLS array_partition variable=smem block factor=128 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01249416,8,23,23,44
