Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2,DesignLatency_Msec,BRAM_Utilization,DSP_Utilization,FF_Utilization,LUT_Utilization
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.65601966,3,1,4,13
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=16 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=128 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=32,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,60.89192046,0,0,26,40
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.410865660000006,1,0,10,18
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=32 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.41118534,1,0,10,17
#pragma HLS array_partition variable=neighborOffset complete dim=2,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.48511134,1,0,6,14
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=32,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,578.67822918,1,1,4,10
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d block factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,578.70257814,1,1,3,8
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d block factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.448827660000006,3,0,6,13
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=8 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.65567334,1,1,5,13
#pragma HLS array_partition variable=neighborOffset complete dim=2,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=32,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,93.32593398,1,0,6,11
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=32 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.65601966,3,1,4,13
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=32,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.45466182,2,0,6,11
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=8 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.65535366,1,1,5,14
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=32,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.48993318,1,0,6,12
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.485777340000006,1,0,6,13
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,578.7013527,1,1,3,9
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d block factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=4 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=64 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.410865660000006,1,0,10,18
#pragma HLS array_partition variable=neighborOffset cyclic factor=4 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.67432134,2,1,4,11
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d complete dim=1,#pragma HLS array_partition variable=local_B_q_i block factor=32 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=64,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,63.44914734,3,0,6,12
#pragma HLS array_partition variable=neighborOffset cyclic factor=8 dim=1,#pragma HLS array_partition variable=d cyclic factor=2 dim=1,#pragma HLS array_partition variable=local_B_q_i cyclic factor=8 dim=1,#pragma HLS array_partition variable=local_A_pos_i cyclic factor=16 dim=1,#pragma HLS array_partition variable=local_B_pos_i block factor=128 dim=1,#pragma HLS array_partition variable=local_pos_o cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=32,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,330.67610622,0,1,4,12
